NN_model/restful-blaze-14model.trc
ref_mesh,scan_mesh,Absolute deviation mean of single scan,Absolute deviation mean of average scan,Absolute deviation mean of CNN output,Absolute deviation mean of (single scan - average scan),Absolute deviation mean of (CNN output - average scan),STD of single scan,STD of average scan,STD of CNN output,STD of (single scan - average scan),STD of (CNN output - average scan)
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.4/5-4.stl,0.047577620406312075,0.04892200567577424,0.04514660459174084,0.006863858839778051,0.013869827800340432,0.06911865468177275,0.07330874475782201,0.06391534529491152,0.010423889889273182,0.020522831384571394
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.4/5-5.stl,0.05057058053269744,0.04892200567577424,0.0477610512113774,0.005135374332422095,0.011977329411510041,0.07612802679956847,0.07330874475782201,0.06991344577470944,0.00759039122764741,0.017142084087529395
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.4/5-6.stl,0.050326544727743824,0.04892200567577424,0.047638864383236064,0.006039965281562087,0.012446174942185419,0.07612359508646045,0.07330874475782201,0.06998812309648163,0.008797794866427256,0.017747721115338906
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.4/5-3.stl,0.04836127294412405,0.04892200567577424,0.04597921487863325,0.004848978247204511,0.012662016148468474,0.07322191885247469,0.07330874475782201,0.06738695641580295,0.007339065349990853,0.01800013172911425
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.4/5-2.stl,0.04973234453664364,0.04892200567577424,0.04711016014016265,0.005009338615963282,0.01231946906017961,0.07454792132606455,0.07330874475782201,0.06866583090072206,0.007136739890386613,0.0175548716651092
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.4/5-1.stl,0.04934077289544179,0.04892200567577424,0.04670316974028301,0.007679099155060343,0.013987124364500454,0.07406322830616204,0.07330874475782201,0.06815696727494457,0.013355537492138081,0.020775726638759796
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.3/U13.stl,0.07396597870099657,0.06890788968852,0.06602612869108793,0.034060074468275775,0.03543942204054201,0.1304759681228328,0.10689518889965433,0.10746299857369354,0.06479204112231168,0.05664355458301514
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.3/U11.stl,0.05877869335737643,0.06890788968852,0.05409277076939127,0.04213847671948818,0.044514012153233216,0.1195452547188691,0.10689518889965433,0.09783710479925925,0.0730183609947025,0.06882454300857821
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.3/U14.stl,0.0815364872187456,0.06890788968852,0.07330955502691104,0.030282549923939,0.03271628675905015,0.12877009378907509,0.10689518889965433,0.10807960680227108,0.05892704659054399,0.05298306131087515
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.3/U12.stl,0.07171345793709147,0.06890788968852,0.06333293371143495,0.04992845572365726,0.04791486619981298,0.13676311589905413,0.10689518889965433,0.10939215241849372,0.08883986162557769,0.0792206608942208
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.2/3-1.stl,0.0374576159392158,0.03698897507070098,0.03672852152258248,0.006953903582716474,0.012652566713463471,0.05491342122853744,0.05297976125012496,0.0514098154651085,0.011787525525865677,0.017903011717631263
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.2/3-4.stl,0.036912808204400974,0.03698897507070098,0.03577894247597909,0.011874561603889684,0.015366600680051846,0.05379841361659138,0.05297976125012496,0.05051364682084775,0.014297518093684082,0.019523930445852607
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.2/3-5.stl,0.037506828299035795,0.03698897507070098,0.03641562578991481,0.011724491506505383,0.015268395625138933,0.05418545457052518,0.05297976125012496,0.050925298798912506,0.012705570728258432,0.018649571705095215
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.2/3-3.stl,0.04177010839480296,0.03698897507070098,0.04082460058313042,0.014501848644495519,0.017822768642387916,0.054134058935153676,0.05297976125012496,0.05116637022416604,0.015087514043481768,0.020383103304927375
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.2/3-2.stl,0.039573893959223526,0.03698897507070098,0.038695545348411325,0.008960509656111223,0.013447662211041001,0.05572534905014943,0.05297976125012496,0.051967697128187114,0.010720195401593817,0.01712091444347274
cad_model/mod_nist_light_in_process.stl,scan_data/mod_nist_light_in_process.2/L3.stl,0.08657744813110745,0.0871742135388129,0.08029468832142336,0.008628638207576667,0.018162537314667642,0.09605511394269683,0.09648995177170254,0.08580861760384463,0.013438361794600624,0.026087272204892546
cad_model/mod_nist_light_in_process.stl,scan_data/mod_nist_light_in_process.2/L2.stl,0.08945850886464682,0.0871742135388129,0.08306325617934265,0.008827164226269777,0.01739981151032406,0.09746154918981921,0.09648995177170254,0.08701460251698644,0.014656840162175196,0.025974584922521703
cad_model/mod_nist_light_in_process.stl,scan_data/mod_nist_light_in_process.2/L6.stl,0.09290549496161776,0.0871742135388129,0.08591624125894824,0.013737981963170857,0.018636709331000135,0.10177349519068069,0.09648995177170254,0.09080135167151604,0.01952067512103784,0.027350452981855688
